N,repeat,scenario,accuracy,rmse,r2,type1,type2,tp,tn,fp,fn,tp_rate,tn_rate,fp_rate,fn_rate,lead_rate,stop_rate,continue_rate,n_should_continue,n_successful_predictions,learned_kernel,learned_length_scale,warning_count
5,21,A,1.0,104.1665131442603,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,21,B,1.0,104.1665131442603,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,22,A,1.0,121.63599193174136,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,22,B,1.0,121.63599193174136,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,23,A,1.0,111.10518799857066,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,23,B,1.0,111.10518799857066,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,24,A,1.0,117.80113509983155,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,24,B,1.0,117.80113509983155,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,25,A,0.2,43.02597920235008,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,25,B,0.2,43.02597920235008,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,26,A,1.0,173.94754053308407,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.588**2 * RBF(length_scale=[43.4, 0.108, 4.47, 0.177, 1.2])",43.38;0.1084;4.468;0.1765;1.203,0
5,26,B,1.0,173.94754053308407,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.588**2 * RBF(length_scale=[0.0171, 29.2, 2.54, 6.8])",0.01707;29.15;2.538;6.797,0
5,27,A,1.0,106.01751767402286,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,27,B,1.0,106.01751767402286,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,28,A,1.0,116.14540388466476,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,28,B,1.0,116.14540388466476,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,29,A,0.2,72.3411456518589,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,29,B,0.2,72.3411456518589,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,30,A,0.2,64.88562849409345,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,30,B,0.2,64.88562849409345,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,31,A,0.2,68.91020368644206,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,31,B,0.2,68.91020368644206,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,32,A,1.0,161.22735829788007,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.488**2 * RBF(length_scale=[0.0481, 0.0182, 62.5, 72.9, 17.1])",0.04809;0.01821;62.45;72.87;17.12,0
5,32,B,1.0,161.22735829788007,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.488**2 * RBF(length_scale=[0.0361, 0.147, 0.292, 0.667])",0.03614;0.1474;0.292;0.6672,0
5,33,A,0.2,195.12388570883581,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.693**2 * RBF(length_scale=[29.2, 2.54, 6.8, 0.0121, 75.8])",29.15;2.538;6.797;0.01209;75.79,0
5,33,B,0.2,195.12388570883581,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.693**2 * RBF(length_scale=[0.0171, 29.2, 2.54, 6.8])",0.01707;29.15;2.538;6.797,0
5,34,A,1.0,119.53377753318992,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,34,B,1.0,119.53377753318992,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,35,A,0.8,176.64139067125146,0.0,1,0,0,4,0,1,0.0,0.8,0.0,0.2,0.3333333333333333,1.0,0.0,1,5,"0.605**2 * RBF(length_scale=[0.0707, 0.0534, 0.0542, 0.165, 1.26])",0.07069;0.05337;0.05415;0.1648;1.256,0
5,35,B,0.8,176.64139067125146,0.0,1,0,0,4,0,1,0.0,0.8,0.0,0.2,0.6666666666666666,1.0,0.0,1,5,"0.605**2 * RBF(length_scale=[0.165, 1.26, 0.534, 0.146])",0.1648;1.256;0.5343;0.1462,0
5,36,A,1.0,104.55864283069747,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,36,B,1.0,104.55864283069747,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,37,A,1.0,101.04503818556877,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,37,B,1.0,101.04503818556877,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,38,A,1.0,134.44026524070262,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,38,B,1.0,134.44026524070262,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,39,A,1.0,138.45553222250055,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,39,B,1.0,138.45553222250055,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,40,A,1.0,145.82229494592357,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.263**2 * RBF(length_scale=[13.8, 0.0629, 1.14, 2.34, 0.0153])",13.83;0.06291;1.14;2.342;0.01534,0
5,40,B,1.0,145.82229494592357,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.263**2 * RBF(length_scale=[0.165, 0.0246, 5.46, 0.576])",0.1654;0.02459;5.457;0.5762,0
5,41,A,1.0,111.77257122270996,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,41,B,1.0,111.77257122270996,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,42,A,1.0,181.95572693998975,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.634**2 * RBF(length_scale=[29.2, 2.54, 6.8, 0.0121, 75.8])",29.15;2.538;6.797;0.01209;75.79,0
5,42,B,1.0,181.95572693998975,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.634**2 * RBF(length_scale=[63.5, 8.47, 2.48, 0.0421])",63.51;8.472;2.481;0.04208,0
5,43,A,0.8,114.27973637398955,0.0,1,0,0,4,0,1,0.0,0.8,0.0,0.2,0.3333333333333333,1.0,0.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,43,B,0.8,114.27973637398955,0.0,1,0,0,4,0,1,0.0,0.8,0.0,0.2,0.6666666666666666,1.0,0.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,44,A,0.2,70.68829902939592,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,44,B,0.2,70.68829902939592,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,45,A,1.0,134.05719906996433,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,45,B,1.0,134.05719906996433,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,46,A,0.2,55.83571493466999,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,46,B,0.2,55.83571493466999,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,47,A,0.2,61.91457527635879,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,47,B,0.2,61.91457527635879,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,48,A,1.0,139.96184292425815,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,48,B,1.0,139.96184292425815,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,49,A,0.2,128.54466651287842,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,49,B,0.2,128.54466651287842,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
8,0,A,1.0,177.67673833761893,0.0,0,0,1,7,0,0,0.125,0.875,0.0,0.0,0.29166666666666663,0.875,0.125,1,8,"0.611**2 * RBF(length_scale=[29.2, 2.54, 6.8, 0.0121, 75.8])",29.15;2.538;6.797;0.01209;75.79,0
8,0,B,1.0,177.67673833761893,0.0,0,0,1,7,0,0,0.125,0.875,0.0,0.0,0.5833333333333333,0.875,0.125,1,8,"0.611**2 * RBF(length_scale=[0.165, 1.26, 0.534, 0.146])",0.1648;1.256;0.5343;0.1462,0
8,1,A,1.0,93.72291121953779,0.0,0,0,1,7,0,0,0.125,0.875,0.0,0.0,0.29166666666666663,0.875,0.125,1,8,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
8,1,B,1.0,93.72291121953779,0.0,0,0,1,7,0,0,0.125,0.875,0.0,0.0,0.5833333333333333,0.875,0.125,1,8,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
8,2,A,1.0,128.53124851613467,0.0,0,0,1,7,0,0,0.125,0.875,0.0,0.0,0.29166666666666663,0.875,0.125,1,8,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
8,2,B,1.0,128.53124851613467,0.0,0,0,1,7,0,0,0.125,0.875,0.0,0.0,0.5833333333333333,0.875,0.125,1,8,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
