k,feature_set,repeat_idx,child_seed,rmse_logJ,mae_logJ,bias_logJ,spearman_rho,pearson_r,within_2x_ratio,top3_hit,test_n
5,composition_plus_solubility,23,609942288,0.0710011649,0.06112600587,0.03047641123,0.9285714286,0.9434180591,1,0.6666666667,7
5,composition_plus_solubility,24,3405943863,0.1140984678,0.08955795972,-0.02056358961,0.6071428571,0.7993957555,1,0.3333333333,7
5,composition_plus_solubility,25,2257503667,0.1113631725,0.07999832057,0.07863765503,0.6785714286,0.8203909273,1,0.6666666667,7
5,composition_plus_solubility,26,4018327298,0.1453710242,0.1102556533,-0.1102556533,0.6071428571,0.6968545996,1,0.3333333333,7
5,composition_plus_solubility,27,2224437599,0.1332341701,0.1053512541,0.06758094595,0.4285714286,0.4511828127,1,0.3333333333,7
5,composition_plus_solubility,28,168388230,0.1228072793,0.09871832182,-0.05265139037,0.6071428571,0.7922907272,1,0.6666666667,7
5,composition_plus_solubility,29,911875363,0.1204612148,0.09294930408,0.09254000839,0.6785714286,0.9064402314,1,0.6666666667,7
5,composition_plus_solubility,30,3699796293,0.1388147453,0.1100394325,-0.0949970129,0.8928571429,0.7281794102,1,0.6666666667,7
5,composition_plus_solubility,31,3195154224,0.1038474645,0.08334065104,0.01776483997,0.8214285714,0.8479449148,1,0.6666666667,7
5,composition_plus_solubility,32,3621210587,0.1236817927,0.0896979045,-0.06721487869,0.7142857143,0.8174749472,1,0.3333333333,7
5,composition_plus_solubility,33,1945778437,0.128004245,0.104564379,-0.06927932798,0.6071428571,0.6914947288,1,0.3333333333,7
5,composition_plus_solubility,34,2384190687,0.114597925,0.1044772355,0.01766759906,0.6785714286,0.7954401579,1,0.3333333333,7
5,composition_plus_solubility,35,3249086786,0.06960838483,0.05953509794,-0.002863890595,0.7857142857,0.9277385885,1,0.6666666667,7
5,composition_plus_solubility,36,439485575,0.135624413,0.1027593333,-0.08535641794,0.8571428571,0.7565280081,1,1,7
5,composition_plus_solubility,37,2217192537,0.1258411262,0.09342313889,-0.0638334261,0.8571428571,0.7204643812,1,0.6666666667,7
5,composition_plus_solubility,38,3412522237,0.2266339033,0.1887841508,0.1887841508,0.75,0.7152922811,0.8571428571,0.6666666667,7
5,composition_plus_solubility,39,555567425,0.08876597832,0.07350015157,0.03216841335,0.7142857143,0.8928792961,1,0.6666666667,7
5,composition_plus_solubility,40,3399977417,0.1771116178,0.1264945535,0.1264945535,0.75,0.6575290189,0.8571428571,0.6666666667,7
5,composition_plus_solubility,41,2903099886,0.1125162667,0.08558238019,-0.02653555039,0.5357142857,0.5416218917,1,0.6666666667,7
5,composition_plus_solubility,42,151712926,0.1223547856,0.09100583625,-0.06244195548,0.75,0.8153778861,1,0.6666666667,7
5,composition_plus_solubility,43,1207582415,0.09690372019,0.07163554096,0.03727052781,0.3571428571,0.3949152476,1,0.6666666667,7
5,composition_plus_solubility,44,2486821540,0.1358769439,0.1089949531,-0.07789885878,0.8928571429,0.8023410971,1,0.6666666667,7
5,composition_plus_solubility,45,1259821421,0.18669649,0.1367197918,0.133615279,0.3214285714,0.3908171575,0.8571428571,0.6666666667,7
5,composition_plus_solubility,46,597594931,0.09486104985,0.07421866298,0.04339120047,0.6428571429,0.5407880728,1,0.6666666667,7
5,composition_plus_solubility,47,2865206418,0.114200996,0.08277077244,-0.03928195275,0.9642857143,0.8510839291,1,1,7
5,composition_plus_solubility,48,3003750881,0.08872211373,0.07061287331,0.02130214686,0.7142857143,0.898035743,1,0.6666666667,7
