formulation_id,replicate,poloxamer_407_pct,ethanol_pct,propylene_glycol_pct,design_group,design_method,design_stage_order,source,t1,t2,t3,t4,t6,t8,t22,t24,t26,t28
Cf3,1,25.0,20.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.146268656716418,9.57820895522388,17.27910447761194,25.729552238805972,44.17283582089552,63.76417910447762,211.53283582089557,231.74238805970154,252.14238805970152,272.9859701492537
Cf3,2,25.0,20.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.5402985074626867,4.035223880597016,9.068955223880598,11.699701492537315,22.398208955223883,34.06985074626866,123.73492537313436,135.3023880597015,148.13373134328359,160.40955223880596
Cf3,3,25.0,20.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.564179104477612,6.0782089552238805,11.405074626865675,17.526567164179106,30.272835820895526,43.214925373134335,145.10895522388063,158.60059701492537,172.73343283582093,188.424776119403
Cf3,4,25.0,20.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.176119402985075,8.71402985074627,15.738805970149253,22.950149253731347,38.872238805970156,55.49462686567164,179.37044776119404,197.65223880597017,217.12119402985076,236.4931343283582
Cf3,5,25.0,20.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.689552238805971,8.817313432835821,15.04,21.58208955223881,35.73462686567164,50.699402985074634,162.97970149253734,179.55134328358213,196.56597014925376,213.68955223880602
Cf4,1,25.0,15.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.5940298507462694,10.036417910447764,17.908358208955224,25.76119402985075,41.850149253731345,58.59940298507464,177.13910447761194,194.0919402985075,212.11880597014925,230.1835820895523
Cf4,2,25.0,15.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.325373134328359,9.778208955223882,18.073731343283583,26.55701492537314,45.25970149253732,64.6558208955224,210.22298507462693,230.9131343283582,253.14686567164182,274.30029850746274
Cf4,3,25.0,15.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.6417910447761197,5.067164179104478,9.220895522388062,14.017611940298508,24.39313432835821,37.039402985074624,137.1561194029851,147.2492537313433,163.95074626865673,180.70477611940302
Cf4,4,25.0,15.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.5164179104477613,5.681791044776119,12.362089552238809,19.00417910447762,31.39313432835821,45.13850746268657,154.1361194029851,172.61641791044778,189.52358208955226,203.7961194029851
Cf4,5,25.0,15.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),0.540298507462682,3.19716417910448,8.01835820895523,13.1323880597015,22.6646268656716,34.3585074626865,134.144626865672,149.195074626866,165.439552238806,179.056716417911
Cf5,1,25.0,10.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.4656716417910447,8.129253731343285,17.31761194029851,28.521492537313442,48.398805970149255,72.21104477611942,233.78029850746267,256.96746268656716,279.3414925373134,300.40208955223886
Cf5,2,25.0,10.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.91044776119403,4.955223880597015,10.093731343283581,16.12179104477612,21.101492537313433,43.014328358208964,196.52328358208956,216.84835820895523,228.83820895522388,248.92686567164182
Cf5,3,25.0,10.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.91044776119403,6.447761194029852,11.857910447761196,17.51671641791045,31.728358208955232,50.29880597014926,371.6632835820896,417.34865671641796,455.4659701492538,481.31761194029855
Cf5,4,25.0,10.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.6686567164179107,8.41402985074627,13.496716417910449,22.490447761194034,38.038805970149255,54.56208955223882,174.09671641791047,190.43701492537315,207.62328358208958,223.60626865671648
Cf5,5,25.0,10.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.3910447761194,7.57328358208955,10.7668656716418,16.9880597014925,29.7035820895522,43.6059701492537,243.038208955224,270.627611940299,295.68552238806,314.064029850746
Cf6,1,25.0,20.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.5880597014925377,11.206268656716421,19.817313432835824,29.762686567164184,51.33373134328358,72.74298507462687,228.8692537313433,250.27552238805973,270.50059701492546,291.8056716417911
Cf6,2,25.0,20.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.149253731343284,7.570149253731344,14.46268656716418,22.367761194029853,41.14656716417912,59.718805970149255,191.9164179104478,211.83880597014928,230.6113432835821,250.60955223880597
Cf6,3,25.0,20.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.483582089552239,7.610746268656717,13.400000000000002,19.71671641791045,34.07223880597016,48.4423880597015,157.31970149253735,174.03641791044777,189.96268656716418,205.67492537313436
Cf6,4,25.0,20.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.0417910447761196,5.67223880597015,12.159701492537316,18.050149253731345,29.23850746268657,45.61223880597015,163.094328358209,179.6340298507463,197.4182089552239,215.16208955223883
Cf6,5,25.0,20.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),7.719402985074627,14.73223880597015,23.067462686567165,31.998507462686568,63.00477611940299,68.81223880597014,197.82447761194032,215.62746268656716,233.55194029850747,253.8516417910448
Cf7,1,20.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),0.2686567164179105,3.261194029850747,9.704179104477614,18.001492537313435,28.51671641791045,39.58597014925374,159.45761194029853,176.6340298507463,193.01671641791046,209.67074626865673
Cf7,2,20.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),4.232835820895523,9.345970149253732,17.20567164179105,23.90716417910448,39.21283582089553,57.49044776119404,190.67402985074628,209.6259701492538,228.9829850746269,247.8692537313433
