scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
augmented_10,10,True,10.0,8,holdout,12.65155598002868,50,50,10,10,60,3470.0049367026113,-19727.45758102321,243.159666
augmented_10,10,True,20.0,8,holdout,12.65155598002868,50,50,10,10,60,3463.2561811058517,-19650.793099229242,243.159666
augmented_10,10,True,3.0,9,holdout,11.319309889491489,50,50,10,10,60,3437.4980055138894,-35024.50206520102,242.56564999999995
augmented_10,10,True,5.0,9,holdout,11.319309889491489,50,50,10,10,60,3351.1970598477124,-33287.89599114714,242.56564999999995
augmented_10,10,True,10.0,9,holdout,11.319309889491489,50,50,10,10,60,3313.213341160459,-32537.554997716285,242.56564999999995
augmented_10,10,True,20.0,9,holdout,11.319309889491489,50,50,10,10,60,3303.8417126771474,-32353.740707647,242.56564999999995
baseline_15,15,False,,0,holdout,12.276342476050292,75,25,15,5,0,20.303081171362017,-0.44725310530478146,252.952664
baseline_15,15,False,,1,holdout,12.066077523873199,75,25,15,5,0,19.932751936527264,-0.001289494637042532,245.6081
baseline_15,15,False,,2,holdout,12.565075512968473,75,25,15,5,0,18.083286656422217,-0.03812895126503357,247.24367599999997
baseline_15,15,False,,3,holdout,12.12456796722094,75,25,15,5,0,25.53192759572808,-0.0727157627181314,239.028932
baseline_15,15,False,,4,holdout,11.329885066426728,75,25,15,5,0,26.7349411298581,-0.019710392535609023,247.55586
baseline_15,15,False,,5,holdout,12.22603120414949,75,25,15,5,0,27.18105667689485,-0.4980567156394642,256.091716
baseline_15,15,False,,6,holdout,10.551763847279123,75,25,15,5,0,25.439876377309915,0.008093340032108154,243.8809
baseline_15,15,False,,7,holdout,11.548545237393206,75,25,15,5,0,20.882731047997307,-0.28160192589852495,251.84862400000003
baseline_15,15,False,,8,holdout,11.49897133200737,75,25,15,5,0,20.27370778105834,-0.2114646722451583,250.92771600000003
baseline_15,15,False,,9,holdout,11.696535990544245,75,25,15,5,0,22.707349987375267,-0.09305990420105026,239.09836800000002
augmented_15,15,True,3.0,0,holdout,12.276342476050292,75,25,15,5,60,2564.86068087036,-23095.605051731964,252.952664
augmented_15,15,True,5.0,0,holdout,12.276342476050292,75,25,15,5,60,2475.414428930468,-21512.765196109933,252.952664
augmented_15,15,True,10.0,0,holdout,12.276342476050292,75,25,15,5,60,2437.4586218856584,-20858.07722658248,252.952664
augmented_15,15,True,20.0,0,holdout,12.276342476050292,75,25,15,5,60,2428.878729010131,-20711.48711814142,252.952664
augmented_15,15,True,3.0,1,holdout,12.066077523873199,75,25,15,5,60,2604.4894102098624,-17094.04811765422,245.6081
augmented_15,15,True,5.0,1,holdout,12.066077523873199,75,25,15,5,60,2518.7865557483933,-15987.505430229214,245.6081
augmented_15,15,True,10.0,1,holdout,12.066077523873199,75,25,15,5,60,2481.092606479539,-15512.54625063294,245.6081
augmented_15,15,True,20.0,1,holdout,12.066077523873199,75,25,15,5,60,2471.7605423694063,-15396.06438959564,245.6081
augmented_15,15,True,3.0,2,holdout,12.565075512968473,75,25,15,5,60,2656.240579224061,-22398.142021576805,247.24367599999997
augmented_15,15,True,5.0,2,holdout,12.565075512968473,75,25,15,5,60,2575.5678502481596,-21058.233494791468,247.24367599999997
augmented_15,15,True,10.0,2,holdout,12.565075512968473,75,25,15,5,60,2540.8379775451185,-20494.122264635018,247.24367599999997
augmented_15,15,True,20.0,2,holdout,12.565075512968473,75,25,15,5,60,2532.065667740453,-20352.84667013804,247.24367599999997
augmented_15,15,True,3.0,3,holdout,12.12456796722094,75,25,15,5,60,2681.781045393558,-11833.886239853626,239.028932
augmented_15,15,True,5.0,3,holdout,12.12456796722094,75,25,15,5,60,2602.9231530492916,-11148.108628082884,239.028932
augmented_15,15,True,10.0,3,holdout,12.12456796722094,75,25,15,5,60,2569.2689905353745,-10861.67045719242,239.028932
augmented_15,15,True,20.0,3,holdout,12.12456796722094,75,25,15,5,60,2559.687468804809,-10780.801665313002,239.028932
augmented_15,15,True,3.0,4,holdout,11.329885066426728,75,25,15,5,60,2501.4606029174774,-8926.003721982666,247.55586
augmented_15,15,True,5.0,4,holdout,11.329885066426728,75,25,15,5,60,2403.8357265976147,-8242.80959200717,247.55586
augmented_15,15,True,10.0,4,holdout,11.329885066426728,75,25,15,5,60,2361.6734971417677,-7956.160042768352,247.55586
augmented_15,15,True,20.0,4,holdout,11.329885066426728,75,25,15,5,60,2351.2073633624873,-7885.789463822645,247.55586
augmented_15,15,True,3.0,5,holdout,12.22603120414949,75,25,15,5,60,2557.5298091943437,-13261.854102072117,256.091716
augmented_15,15,True,5.0,5,holdout,12.22603120414949,75,25,15,5,60,2467.7713719134476,-12347.250385637437,256.091716
augmented_15,15,True,10.0,5,holdout,12.22603120414949,75,25,15,5,60,2428.888133288209,-11961.187617721427,256.091716
augmented_15,15,True,20.0,5,holdout,12.22603120414949,75,25,15,5,60,2419.988614367447,-11873.68858353216,256.091716
augmented_15,15,True,3.0,6,holdout,10.551763847279123,75,25,15,5,60,2499.529581548423,-9574.409918710671,243.8809
augmented_15,15,True,5.0,6,holdout,10.551763847279123,75,25,15,5,60,2399.909592535416,-8826.354672676178,243.8809
augmented_15,15,True,10.0,6,holdout,10.551763847279123,75,25,15,5,60,2356.578834123506,-8510.473640834978,243.8809
augmented_15,15,True,20.0,6,holdout,10.551763847279123,75,25,15,5,60,2345.566890870343,-8431.113786475966,243.8809
augmented_15,15,True,3.0,7,holdout,11.548545237393206,75,25,15,5,60,2560.1401456528624,-19261.20678105526,251.84862400000003
augmented_15,15,True,5.0,7,holdout,11.548545237393206,75,25,15,5,60,2466.1844847119387,-17873.326365251043,251.84862400000003
augmented_15,15,True,10.0,7,holdout,11.548545237393206,75,25,15,5,60,2427.7510262924784,-17320.554068660844,251.84862400000003
augmented_15,15,True,20.0,7,holdout,11.548545237393206,75,25,15,5,60,2417.7066676853906,-17177.52128963948,251.84862400000003
augmented_15,15,True,3.0,8,holdout,11.49897133200737,75,25,15,5,60,2514.1858187675134,-18630.12733880793,250.92771600000003
augmented_15,15,True,5.0,8,holdout,11.49897133200737,75,25,15,5,60,2421.084898197141,-17275.8445949225,250.92771600000003
augmented_15,15,True,10.0,8,holdout,11.49897133200737,75,25,15,5,60,2378.9380402800693,-16679.56093941991,250.92771600000003
augmented_15,15,True,20.0,8,holdout,11.49897133200737,75,25,15,5,60,2369.6064086679785,-16548.95513375617,250.92771600000003
augmented_15,15,True,3.0,9,holdout,11.696535990544245,75,25,15,5,60,2595.398126747339,-14278.698236595046,239.09836800000002
augmented_15,15,True,5.0,9,holdout,11.696535990544245,75,25,15,5,60,2507.4654899502366,-13327.491069925882,239.09836800000002
augmented_15,15,True,10.0,9,holdout,11.696535990544245,75,25,15,5,60,2469.0718968109963,-12922.45184286698,239.09836800000002
augmented_15,15,True,20.0,9,holdout,11.696535990544245,75,25,15,5,60,2459.5810112675404,-12823.28967173313,239.09836800000002
baseline_20,20,False,,0,group_cv,11.727007341493817,80,20,16,4,0,19.61309957168992,-0.4462158786047923,253.31108
baseline_20,20,False,,1,group_cv,11.476294251844044,80,20,16,4,0,21.77613217916354,0.002917027424686136,245.70949000000005
baseline_20,20,False,,2,group_cv,12.311869495601634,80,20,16,4,0,19.1922330900448,0.007308017906032416,243.64105500000005
baseline_20,20,False,,3,group_cv,11.36792407446289,80,20,16,4,0,25.671695941097703,0.008216172783753084,244.795815
baseline_20,20,False,,4,group_cv,11.590341711992998,80,20,16,4,0,26.814797698290132,-0.5261336806030668,231.70468999999997
augmented_20,20,True,3.0,0,group_cv,11.727007341493817,80,20,16,4,60,2402.339774361838,-21696.491289689104,253.31108
augmented_20,20,True,5.0,0,group_cv,11.727007341493817,80,20,16,4,60,2308.334617240323,-20031.64008359746,253.31108
augmented_20,20,True,10.0,0,group_cv,11.727007341493817,80,20,16,4,60,2268.300459334205,-19342.801219610657,253.31108
augmented_20,20,True,20.0,0,group_cv,11.727007341493817,80,20,16,4,60,2259.1898998598667,-19187.72570144797,253.31108
augmented_20,20,True,3.0,1,group_cv,11.476294251844044,80,20,16,4,60,2426.149569223695,-12375.702559066356,245.70949000000005
augmented_20,20,True,5.0,1,group_cv,11.476294251844044,80,20,16,4,60,2334.299669547318,-11456.319627768959,245.70949000000005
augmented_20,20,True,10.0,1,group_cv,11.476294251844044,80,20,16,4,60,2294.1523850037843,-11065.603123061204,245.70949000000005
augmented_20,20,True,20.0,1,group_cv,11.476294251844044,80,20,16,4,60,2284.245481369505,-10970.231037250935,245.70949000000005
augmented_20,20,True,3.0,2,group_cv,12.311869495601634,80,20,16,4,60,2513.4632552579883,-17024.8411166827,243.64105500000005
augmented_20,20,True,5.0,2,group_cv,12.311869495601634,80,20,16,4,60,2430.4859059218156,-15919.243614695275,243.64105500000005
augmented_20,20,True,10.0,2,group_cv,12.311869495601634,80,20,16,4,60,2394.749272394381,-15454.519060948765,243.64105500000005
augmented_20,20,True,20.0,2,group_cv,12.311869495601634,80,20,16,4,60,2385.7311635718893,-15338.333940653358,243.64105500000005
augmented_20,20,True,3.0,3,group_cv,11.36792407446289,80,20,16,4,60,2406.7137258227413,-8715.79376975139,244.795815
augmented_20,20,True,5.0,3,group_cv,11.36792407446289,80,20,16,4,60,2314.0835236337034,-8057.718058057917,244.795815
augmented_20,20,True,10.0,3,group_cv,11.36792407446289,80,20,16,4,60,2274.079534991116,-7781.50128916019,244.795815
augmented_20,20,True,20.0,3,group_cv,11.36792407446289,80,20,16,4,60,2262.9442791536994,-7705.472309882963,244.795815
augmented_20,20,True,3.0,4,group_cv,11.590341711992998,80,20,16,4,60,2571.352797913142,-14032.527888558861,231.70468999999997
augmented_20,20,True,5.0,4,group_cv,11.590341711992998,80,20,16,4,60,2490.378021997035,-13162.581823385879,231.70468999999997
augmented_20,20,True,10.0,4,group_cv,11.590341711992998,80,20,16,4,60,2455.330589637663,-12794.68311859103,231.70468999999997
augmented_20,20,True,20.0,4,group_cv,11.590341711992998,80,20,16,4,60,2446.6064093300756,-12703.91446666459,231.70468999999997
