scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
augmented_5,5,True,5.0,9,holdout,28.960796805829442,5,15,5,15,8,46.959468565215154,-0.9884317390667428,225.54320199004977
augmented_5,5,True,10.0,9,holdout,28.960796805829442,5,15,5,15,8,46.95442833099165,-0.9880049189104978,225.54320199004977
augmented_5,5,True,20.0,9,holdout,28.960796805829442,5,15,5,15,8,46.95285221580005,-0.9878714587757667,225.54320199004977
augmented_5,5,True,50.0,9,holdout,28.960796805829442,5,15,5,15,8,46.95270552093737,-0.9878590373759422,225.54320199004977
baseline_10,10,False,,0,holdout,33.41324617641804,10,10,10,10,0,31.38936337702582,-0.2387802127631966,217.74646567164183
baseline_10,10,False,,1,holdout,34.499126107773876,10,10,10,10,0,31.421444187424004,-0.08248424516003428,220.30167164179107
baseline_10,10,False,,2,holdout,34.89374447808242,10,10,10,10,0,36.7100928529532,-0.18678900801596665,217.35657014925377
baseline_10,10,False,,3,holdout,38.202314040919404,10,10,10,10,0,33.714960870248845,-0.061694792319396896,228.70752238805966
baseline_10,10,False,,4,holdout,40.08032748032458,10,10,10,10,0,39.6264222276517,-1.7447939805208161,208.84102686567167
baseline_10,10,False,,5,holdout,36.74305914822144,10,10,10,10,0,40.155738610034405,-0.8839533204973671,210.8923223880597
baseline_10,10,False,,6,holdout,40.25424913811385,10,10,10,10,0,37.99037722187053,-0.10783521791163286,230.56916716417913
baseline_10,10,False,,7,holdout,43.37692570371185,10,10,10,10,0,26.652523963917485,-0.05835487715442489,221.51048059701492
baseline_10,10,False,,8,holdout,35.169873289249516,10,10,10,10,0,37.60585510542752,-0.02792019088287656,227.74369253731348
baseline_10,10,False,,9,holdout,36.02012550509552,10,10,10,10,0,30.71429302449559,-0.25375449426730845,217.7303104477612
augmented_10,10,True,3.0,0,holdout,33.41324617641804,10,10,10,10,8,45.73605989353741,-1.6299454484964127,217.74646567164183
augmented_10,10,True,5.0,0,holdout,33.41324617641804,10,10,10,10,8,45.724052362914925,-1.628564699687192,217.74646567164183
augmented_10,10,True,10.0,0,holdout,33.41324617641804,10,10,10,10,8,45.71882404933731,-1.6279636079606319,217.74646567164183
augmented_10,10,True,20.0,0,holdout,33.41324617641804,10,10,10,10,8,45.71758572443077,-1.627821249587038,217.74646567164183
augmented_10,10,True,50.0,0,holdout,33.41324617641804,10,10,10,10,8,45.717462739914104,-1.6278071114436319,217.74646567164183
augmented_10,10,True,3.0,1,holdout,34.499126107773876,10,10,10,10,8,44.02643735519474,-1.1251832631480512,220.30167164179107
augmented_10,10,True,5.0,1,holdout,34.499126107773876,10,10,10,10,8,44.0157573554876,-1.124152327870962,220.30167164179107
augmented_10,10,True,10.0,1,holdout,34.499126107773876,10,10,10,10,8,44.01124409173368,-1.1237167398552588,220.30167164179107
augmented_10,10,True,20.0,1,holdout,34.499126107773876,10,10,10,10,8,44.01004478295613,-1.1236009986406272,220.30167164179107
augmented_10,10,True,50.0,1,holdout,34.499126107773876,10,10,10,10,8,44.00962527360858,-1.123560513963647,220.30167164179107
augmented_10,10,True,3.0,2,holdout,34.89374447808242,10,10,10,10,8,49.77270572141684,-1.1816498567436136,217.35657014925377
