source,formulation_id,design_group,design_method,replicate,poloxamer_407_pct,ethanol_pct,propylene_glycol_pct,cumulative_amount_24h_ug_cm2
Paper 1 (this study),Cf25,LHS,Latin hypercube sampling,5,29.2,12.9,19.6,247.7402985074627
Paper 1 (this study),BO1,BO,Bayesian optimization,1,21.17,19.95,10.59,251.14865671641795
Paper 1 (this study),BO1,BO,Bayesian optimization,2,21.17,19.95,10.59,206.95731343283586
Paper 1 (this study),BO1,BO,Bayesian optimization,3,21.17,19.95,10.59,210.7056716417911
Paper 1 (this study),BO1,BO,Bayesian optimization,4,21.17,19.95,10.59,212.48597014925375
Paper 1 (this study),BO1,BO,Bayesian optimization,5,21.17,19.95,10.59,209.6182089552239
Paper 1 (this study),BO2,BO,Bayesian optimization,1,25.22,19.41,19.29,195.59104477611945
Paper 1 (this study),BO2,BO,Bayesian optimization,2,25.22,19.41,19.29,183.7802985074627
Paper 1 (this study),BO2,BO,Bayesian optimization,3,25.22,19.41,19.29,150.74119402985076
Paper 1 (this study),BO2,BO,Bayesian optimization,4,25.22,19.41,19.29,153.93940298507465
Paper 1 (this study),BO2,BO,Bayesian optimization,5,25.22,19.41,19.29,157.48268656716422
Paper 1 (this study),BO3,BO,Bayesian optimization,1,26.06,11.99,15.7,247.364776119403
Paper 1 (this study),BO3,BO,Bayesian optimization,2,26.06,11.99,15.7,206.42626865671642
Paper 1 (this study),BO3,BO,Bayesian optimization,3,26.06,11.99,15.7,251.84925373134334
Paper 1 (this study),BO3,BO,Bayesian optimization,4,26.06,11.99,15.7,200.18597014925373
Paper 1 (this study),BO3,BO,Bayesian optimization,5,26.06,11.99,15.7,210.3023880597015
Paper 1 (this study),BO4,BO,Bayesian optimization,1,20.95,19.44,12.14,278.014328358209
Paper 1 (this study),BO4,BO,Bayesian optimization,2,20.95,19.44,12.14,253.40686567164178
Paper 1 (this study),BO4,BO,Bayesian optimization,3,20.95,19.44,12.14,303.02477611940304
Paper 1 (this study),BO4,BO,Bayesian optimization,4,20.95,19.44,12.14,247.6653731343284
Paper 1 (this study),BO4,BO,Bayesian optimization,5,20.95,19.44,12.14,278.2002985074627
Paper 1 (this study),OPT1,OPT,Final optimum,1,20.0,20.0,10.0,241.17671641791048
Paper 1 (this study),OPT1,OPT,Final optimum,2,20.0,20.0,10.0,214.27611940298507
Paper 1 (this study),OPT1,OPT,Final optimum,3,20.0,20.0,10.0,219.3185074626866
Paper 1 (this study),OPT1,OPT,Final optimum,4,20.0,20.0,10.0,224.34029850746273
Paper 1 (this study),OPT1,OPT,Final optimum,5,20.0,20.0,10.0,315.13731343283587
