dedup_key,doi,pmid,year,journal,title,is_oa,oa_with_pdf_url,is_caffeine,is_nicotinamide,is_lidocaine,is_ibuprofen,has_flux_term,has_cumulative_term,has_kp_term,has_lag_term,has_franz,has_ivpt_acronym,has_skin_type,has_ivivc,has_pg_pct,has_etoh_pct,has_water_pct,has_mineral_oil_pct,has_ipm_pct,has_carbopol_pct,has_hpmc_pct,has_poloxamer_pct,has_gel_word_in_title,is_review,is_in_vivo_only,is_animal_pk_only,is_iontophoresis_or_microneedle,has_percent_range,percent_value_count,multi_formulation_terms,endpoint_signal_count,method_signal_count,with_quantitative_pct_in_abstract,modelling_ready_oa,candidate_score
doi:10.2147/ijn.s86186,10.2147/ijn.s86186,26425085,2015,International journal of nanomedicine,"Development, characterization, and skin delivery studies of related ultradeformable vesicles: transfersomes, ethosomes, and transethosomes.",True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,7,1,0,False,False,32.25
doi:10.1016/j.ijpharm.2015.02.029,10.1016/j.ijpharm.2015.02.029,25681718,2015,International journal of pharmaceutics,Differential effects of some natural compounds on the transdermal absorption and penetration of caffeine and salicylic acid.,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,0,0,1,1,False,False,4.25
doi:10.1016/j.jphotobiol.2015.09.017,10.1016/j.jphotobiol.2015.09.017,26410040,2015,"Journal of photochemistry and photobiology. B, Biology",Spent coffee ground extract suppresses ultraviolet B-induced photoaging in hairless mice.,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,False,4,2,0,1,False,False,13.25
doi:10.1016/j.medici.2015.07.002,10.1016/j.medici.2015.07.002,26424191,2015,"Medicina (Kaunas, Lithuania)",Temperature influencing permeation pattern of alfuzosin: an investigation using DoE.,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,3,1,0,False,False,16.25
doi:10.2147/ijn.s83962,10.2147/ijn.s83962,26109856,2015,International Journal of Nanomedicine,Utilization of nanotechnology to enhance percutaneous absorption of acyclovir in the treatment of herpes simplex viral infections.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,2,11,0,0,False,False,47.25
doi:10.2147/ijn.s105016,10.2147/ijn.s105016,27307730,2016,International Journal of Nanomedicine,"Ethosomal nanocarriers: the impact of constituents and formulation techniques on ethosomal properties, in vivo studies, and clinical trials.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,True,False,False,False,False,0,6,0,0,False,False,25.3
doi:10.1016/j.ijpharm.2016.07.013,10.1016/j.ijpharm.2016.07.013,27418564,2016,International journal of pharmaceutics,In situ film forming fibroin gel intended for cutaneous administration.,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,,,,,False,False,False,False,False,1,6,1,1,True,False,32.3
doi:10.1186/s12887-016-0607-9,10.1186/s12887-016-0607-9,27267134,2016,BMC Pediatrics,Systematic review of published trials: long-term safety of topical corticosteroids and topical calcineurin inhibitors in pediatric patients with atopic dermatitis.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,True,True,False,False,False,1,3,0,0,False,False,14.3
doi:10.1039/c6pp00045b,10.1039/c6pp00045b,27195822,2016,Photochemical & photobiological sciences : Official journal of the European Photochemistry Association and the European Society for Photobiology,Topical application of spent coffee ground extracts protects skin from ultraviolet B-induced photoaging in hairless mice.,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,5,3,0,0,False,False,18.3
doi:10.1016/j.ijpharm.2016.05.004,10.1016/j.ijpharm.2016.05.004,27154251,2016,International journal of pharmaceutics,Transdermal permeation of drugs with differing lipophilicity: Effect of penetration enhancer camphor.,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,False,False,False,False,False,0,2,0,0,False,False,9.3
